PMID	Sourceid	xQTL	Tissue	Population	Sample_size	Journal	Year	Genome	Describe	Title	Reduced-WGS
23876401	14	sQTL	Lymphocyte	EUR	41	Genome biology	2013	hg19/hg38		GLiMMPS: robust statistical model for regulatory variation of alternative splicing using RNA-seq data	No
25685889	15	sQTL	Blood	MIX	5257	Nature genetics	2015	hg19/hg38		Identification of common genetic variants controlling transcript isoform variation in human whole blood	No
27126046	16	sQTL	Lymphocyte	AFR	86	Science	2016	hg19/hg38		RNA splicing is a primary link between genetic variation and disease	No
28240266	17	sQTL	Brain-Prefrontal Cortex	MIX	206	nature communications	2017	hg19/hg38		Genome-wide identification of splicing QTLs in the human brain and their enrichment among schizophrenia-associated loci	No
29021288	18	sQTL	Adipose-Subcutaneous	MIX	449	Genome research	2017	hg19/hg38		Co-expression networks reveal the tissue-specific regulation of transcription and splicing	No
29021288	19	sQTL	Adipose-Visceral	MIX	449	Genome research	2017	hg19/hg38		Co-expression networks reveal the tissue-specific regulation of transcription and splicing	No
29021288	20	sQTL	Artery-Aorta	MIX	449	Genome research	2017	hg19/hg38		Co-expression networks reveal the tissue-specific regulation of transcription and splicing	No
29021288	21	sQTL	Artery-Tibial	MIX	449	Genome research	2017	hg19/hg38		Co-expression networks reveal the tissue-specific regulation of transcription and splicing	No
29021288	22	sQTL	Breast	MIX	449	Genome research	2017	hg19/hg38		Co-expression networks reveal the tissue-specific regulation of transcription and splicing	No
29021288	23	sQTL	Esophagus	MIX	449	Genome research	2017	hg19/hg38	Esophagus-Mucosa	Co-expression networks reveal the tissue-specific regulation of transcription and splicing	No
29021288	24	sQTL	Esophagus	MIX	449	Genome research	2017	hg19/hg38	Esophagus-Muscularis	Co-expression networks reveal the tissue-specific regulation of transcription and splicing	No
29021288	25	sQTL	Heart-Left Ventricle	MIX	449	Genome research	2017	hg19/hg38		Co-expression networks reveal the tissue-specific regulation of transcription and splicing	No
29021288	26	sQTL	Lung	MIX	449	Genome research	2017	hg19/hg38		Co-expression networks reveal the tissue-specific regulation of transcription and splicing	No
29021288	27	sQTL	Muscle-Skeletal	MIX	449	Genome research	2017	hg19/hg38		Co-expression networks reveal the tissue-specific regulation of transcription and splicing	No
29021288	28	sQTL	Peripheral Nervous System	MIX	449	Genome research	2017	hg19/hg38		Co-expression networks reveal the tissue-specific regulation of transcription and splicing	No
29021288	29	sQTL	Skin	MIX	449	Genome research	2017	hg19/hg38		Co-expression networks reveal the tissue-specific regulation of transcription and splicing	No
29021288	30	sQTL	Thyroid Gland	MIX	449	Genome research	2017	hg19/hg38		Co-expression networks reveal the tissue-specific regulation of transcription and splicing	No
29021288	31	sQTL	Fibroblast	MIX	449	Genome research	2017	hg19/hg38		Co-expression networks reveal the tissue-specific regulation of transcription and splicing	No
29021288	32	sQTL	Blood	MIX	449	Genome research	2017	hg19/hg38		Co-expression networks reveal the tissue-specific regulation of transcription and splicing	No
29025893	33	sQTL	Blood-B cell CD19+	EUR	81	Genome research	2017	hg19/hg38	parents having one affected child (trios) and two or more affected children	Disease-specific biases in alternative splicing and tissue-specific dysregulation revealed by multitissue profiling of lymphocyte gene expression in type 1 diabetes	No
29025893	34	sQTL	Blood-T cell CD4+	EUR	81	Genome research	2017	hg19/hg38	parents having one affected child (trios) and two or more affected children	Disease-specific biases in alternative splicing and tissue-specific dysregulation revealed by multitissue profiling of lymphocyte gene expression in type 1 diabetes	No
29025893	35	sQTL	Blood-T cell CD8+	EUR	81	Genome research	2017	hg19/hg38	parents having one affected child (trios) and two or more affected children	Disease-specific biases in alternative splicing and tissue-specific dysregulation revealed by multitissue profiling of lymphocyte gene expression in type 1 diabetes	No
29229984	36	sQTL	Stem cell-iPSC	EUR	100	Nature genetics	2017	hg19/hg38		Molecular and functional variation in iPSC-derived sensory neurons	No
30329095	37	sQTL	Adrenal Gland	MIX	77	Nucleic acids research	2019	hg19/hg38		CancerSplicingQTL: a database for genome-wide identification of splicing QTLs in human cancer	No
30329095	38	sQTL	Bladder	MIX	406	Nucleic acids research	2019	hg19/hg38		CancerSplicingQTL: a database for genome-wide identification of splicing QTLs in human cancer	No
30329095	39	sQTL	Breast	MIX	1090	Nucleic acids research	2019	hg19/hg38		CancerSplicingQTL: a database for genome-wide identification of splicing QTLs in human cancer	No
30329095	40	sQTL	Cervix	MIX	250	Nucleic acids research	2019	hg19/hg38		CancerSplicingQTL: a database for genome-wide identification of splicing QTLs in human cancer	No
30329095	41	sQTL	Gallbladder	MIX	36	Nucleic acids research	2019	hg19/hg38		CancerSplicingQTL: a database for genome-wide identification of splicing QTLs in human cancer	No
30329095	42	sQTL	Large Intestine-Colon	MIX	285	Nucleic acids research	2019	hg19/hg38		CancerSplicingQTL: a database for genome-wide identification of splicing QTLs in human cancer	No
30329095	43	sQTL	Lymphocyte	MIX	48	Nucleic acids research	2019	hg19/hg38		CancerSplicingQTL: a database for genome-wide identification of splicing QTLs in human cancer	No
30329095	44	sQTL	Esophagus	MIX	180	Nucleic acids research	2019	hg19/hg38		CancerSplicingQTL: a database for genome-wide identification of splicing QTLs in human cancer	No
30329095	45	sQTL	Brain	MIX	150	Nucleic acids research	2019	hg19/hg38		CancerSplicingQTL: a database for genome-wide identification of splicing QTLs in human cancer	No
30329095	46	sQTL	Brain	MIX	499	Nucleic acids research	2019	hg19/hg38		CancerSplicingQTL: a database for genome-wide identification of splicing QTLs in human cancer	No
30329095	47	sQTL	Kidney	MIX	66	Nucleic acids research	2019	hg19/hg38		CancerSplicingQTL: a database for genome-wide identification of splicing QTLs in human cancer	No
30329095	48	sQTL	Kidney	MIX	527	Nucleic acids research	2019	hg19/hg38		CancerSplicingQTL: a database for genome-wide identification of splicing QTLs in human cancer	No
30329095	49	sQTL	Kidney	MIX	290	Nucleic acids research	2019	hg19/hg38		CancerSplicingQTL: a database for genome-wide identification of splicing QTLs in human cancer	No
30329095	50	sQTL	Blood	MIX	122	Nucleic acids research	2019	hg19/hg38		CancerSplicingQTL: a database for genome-wide identification of splicing QTLs in human cancer	No
30329095	51	sQTL	Brain	MIX	514	Nucleic acids research	2019	hg19/hg38		CancerSplicingQTL: a database for genome-wide identification of splicing QTLs in human cancer	No
30329095	52	sQTL	Liver	MIX	369	Nucleic acids research	2019	hg19/hg38		CancerSplicingQTL: a database for genome-wide identification of splicing QTLs in human cancer	No
30329095	53	sQTL	Lung	MIX	512	Nucleic acids research	2019	hg19/hg38		CancerSplicingQTL: a database for genome-wide identification of splicing QTLs in human cancer	No
30329095	54	sQTL	Lung	MIX	500	Nucleic acids research	2019	hg19/hg38		CancerSplicingQTL: a database for genome-wide identification of splicing QTLs in human cancer	No
30329095	55	sQTL	Breast	MIX	87	Nucleic acids research	2019	hg19/hg38		CancerSplicingQTL: a database for genome-wide identification of splicing QTLs in human cancer	No
30329095	56	sQTL	Ovary	MIX	293	Nucleic acids research	2019	hg19/hg38		CancerSplicingQTL: a database for genome-wide identification of splicing QTLs in human cancer	No
30329095	57	sQTL	Pancreas	MIX	176	Nucleic acids research	2019	hg19/hg38		CancerSplicingQTL: a database for genome-wide identification of splicing QTLs in human cancer	No
30329095	58	sQTL	Adrenal Gland	MIX	168	Nucleic acids research	2019	hg19/hg38		CancerSplicingQTL: a database for genome-wide identification of splicing QTLs in human cancer	No
30329095	59	sQTL	Prostate	MIX	485	Nucleic acids research	2019	hg19/hg38		CancerSplicingQTL: a database for genome-wide identification of splicing QTLs in human cancer	No
30329095	60	sQTL	Large Intestine-Colon	MIX	93	Nucleic acids research	2019	hg19/hg38		CancerSplicingQTL: a database for genome-wide identification of splicing QTLs in human cancer	No
30329095	61	sQTL	Skin	MIX	248	Nucleic acids research	2019	hg19/hg38		CancerSplicingQTL: a database for genome-wide identification of splicing QTLs in human cancer	No
30329095	62	sQTL	Skin	MIX	101	Nucleic acids research	2019	hg19/hg38		CancerSplicingQTL: a database for genome-wide identification of splicing QTLs in human cancer	No
30329095	63	sQTL	Stomach	MIX	408	Nucleic acids research	2019	hg19/hg38		CancerSplicingQTL: a database for genome-wide identification of splicing QTLs in human cancer	No
30329095	64	sQTL	Testis	MIX	144	Nucleic acids research	2019	hg19/hg38		CancerSplicingQTL: a database for genome-wide identification of splicing QTLs in human cancer	No
30329095	65	sQTL	Thyroid Gland	MIX	493	Nucleic acids research	2019	hg19/hg38		CancerSplicingQTL: a database for genome-wide identification of splicing QTLs in human cancer	No
30329095	66	sQTL	Thymus	MIX	107	Nucleic acids research	2019	hg19/hg38		CancerSplicingQTL: a database for genome-wide identification of splicing QTLs in human cancer	No
30329095	67	sQTL	Uterus	MIX	166	Nucleic acids research	2019	hg19/hg38		CancerSplicingQTL: a database for genome-wide identification of splicing QTLs in human cancer	No
30329095	68	sQTL	Uterus	MIX	56	Nucleic acids research	2019	hg19/hg38		CancerSplicingQTL: a database for genome-wide identification of splicing QTLs in human cancer	No
30329095	69	sQTL	Eye	MIX	80	Nucleic acids research	2019	hg19/hg38		CancerSplicingQTL: a database for genome-wide identification of splicing QTLs in human cancer	No
30545857	70	sQTL	Brain	MIX	1866	Science	2018	hg19/hg38		Comprehensive functional genomic resource and integrative model for the human brain	No
20215007	71	mQTL	Brain-Cerebellum	EUR	153	American journal of human genetics	2010	hg19/hg38	original reported cis	Genetic Control of Individual Differences in Gene-Specific Methylation in Human Brain	No
20215007	72	mQTL	Brain-Cerebellum	EUR	153	American journal of human genetics	2010	hg19/hg38	original reported trans	Genetic Control of Individual Differences in Gene-Specific Methylation in Human Brain	No
20485568	73	mQTL	Brain-Cerebellum	EUR	150	PLoS genetics	2010	hg19/hg38		Abundant quantitative trait loci exist for DNA methylation and gene expression in human brain	No
20485568	74	mQTL	Brain-Frontal Cortex	EUR	150	PLoS genetics	2010	hg19/hg38		Abundant quantitative trait loci exist for DNA methylation and gene expression in human brain	No
20485568	75	mQTL	Brain-Temporal Cortex	EUR	150	PLoS genetics	2010	hg19/hg38		Abundant quantitative trait loci exist for DNA methylation and gene expression in human brain	No
20485568	76	mQTL	Brain-Pons	EUR	150	PLoS genetics	2010	hg19/hg38		Abundant quantitative trait loci exist for DNA methylation and gene expression in human brain	No
21251332	77	mQTL	Lymphocyte	AFR	77	Genome biology	2011	hg19/hg38		DNA methylation patterns associate with genetic and gene expression variation in HapMap cell lines	No
21738488	78	mQTL	Brain	MIX	292	PLoS genetics	2011	hg19/hg38		A two-stage meta-analysis identifies several new loci for Parkinson's disease	No
22305529	79	mQTL	Brain-Prefrontal Cortex	MIX	108	American journal of human genetics	2012	hg19/hg38	original reported cis	DNA methylation signatures in development and aging of the human prefrontal cortex	No
22305529	80	mQTL	Brain-Prefrontal Cortex	MIX	108	American journal of human genetics	2012	hg19/hg38	original reported trans	DNA methylation signatures in development and aging of the human prefrontal cortex	No
23431366	81	mQTL	Adipose-Subcutaneous	EUR	38	PloS one	2013	hg19/hg38		The Presence of Methylation Quantitative Trait Loci Indicates a Direct Genetic Influence on the Level of DNA Methylation in Adipose Tissue	No
23755361	82	mQTL	Fibroblast	EUR	107	eLife	2013	hg19/hg38		Passive and active DNA methylation and the interplay with genetic variation in gene regulation	No
23755361	83	mQTL	Blood	EUR	111	eLife	2013	hg19/hg38		Passive and active DNA methylation and the interplay with genetic variation in gene regulation	No
23755361	84	mQTL	Lymphocyte	EUR	66	eLife	2013	hg19/hg38		Passive and active DNA methylation and the interplay with genetic variation in gene regulation	No
23792949	85	mQTL	Lymphocyte	MIX	133	Genetics	2013	hg19/hg38		Genome-Wide Variation of Cytosine Modifications Between European and African Populations and the Implications for Complex Traits	No
24183450	86	mQTL	Adipose	EUR	603	American journal of human genetics	2013	hg19/hg38		Global analysis of DNA methylation variation in adipose tissue from twins reveals links to disease-associated variants in distal regulatory elements	No
24555763	87	mQTL	Blood	AFR	90	BMC genomics	2014	hg19/hg38		Methylation quantitative trait loci (meQTLs) are consistently detected across ancestry, developmental stage, and tissue type	No
24555763	88	mQTL	Blood	AFR	87	BMC genomics	2014	hg19/hg38		Methylation quantitative trait loci (meQTLs) are consistently detected across ancestry, developmental stage, and tissue type	No
24555763	89	mQTL	Blood	EUR	87	BMC genomics	2014	hg19/hg38		Methylation quantitative trait loci (meQTLs) are consistently detected across ancestry, developmental stage, and tissue type	No
24555763	90	mQTL	Brain-Frontal Cortex	EUR	111	BMC genomics	2014	hg19/hg38		Methylation quantitative trait loci (meQTLs) are consistently detected across ancestry, developmental stage, and tissue type	No
24555763	91	mQTL	Brain-Temporal Cortex	EUR	125	BMC genomics	2014	hg19/hg38		Methylation quantitative trait loci (meQTLs) are consistently detected across ancestry, developmental stage, and tissue type	No
24555763	92	mQTL	Brain-Cerebellum	EUR	105	BMC genomics	2014	hg19/hg38		Methylation quantitative trait loci (meQTLs) are consistently detected across ancestry, developmental stage, and tissue type	No
24555763	93	mQTL	Brain-Pons	EUR	106	BMC genomics	2014	hg19/hg38		Methylation quantitative trait loci (meQTLs) are consistently detected across ancestry, developmental stage, and tissue type	No
24889829	94	mQTL	Blood	AFR	268	Human genetics	2014	hg19/hg38		Identification of methylation quantitative trait loci (mQTLs) influencing promoter DNA methylation of alcohol dependence risk genes	No
24889829	95	mQTL	Blood	EUR	143	Human genetics	2014	hg19/hg38		Identification of methylation quantitative trait loci (mQTLs) influencing promoter DNA methylation of alcohol dependence risk genes	No
25206360	96	mQTL	Brain-Prefrontal Cortex	MIX	216	Frontiers in genetics	2014	hg19/hg38		DNA methylation changes in the postmortem dorsolateral prefrontal cortex of patients with schizophrenia	No
25375650	97	mQTL	Pancreas	EUR	89	PLoS genetics	2014	hg19/hg38	original reported cis	Genome-wide associations between genetic and epigenetic variation influence mRNA expression and insulin secretion in human pancreatic islets	No
25375650	98	mQTL	Pancreas	EUR	89	PLoS genetics	2014	hg19/hg38	original reported trans	Genome-wide associations between genetic and epigenetic variation influence mRNA expression and insulin secretion in human pancreatic islets	No
25716334	99	mQTL	Lymphocyte	EUR	1748	nature communications	2015	hg19/hg38	original reported cis	Long-range epigenetic regulation is conferred by genetic variation located at thousands of independent loci	No
25716334	100	mQTL	Lymphocyte	EUR	1748	nature communications	2015	hg19/hg38	original reported trans	Long-range epigenetic regulation is conferred by genetic variation located at thousands of independent loci	No
25910490	101	mQTL	Lymphocyte	AFR	60	Genome research	2015	hg19/hg38		A pooling-based approach to mapping genetic variants associated with DNA methylation	No
26449484	102	mQTL	Blood	EUR	355	Genome medicine	2015	hg19/hg38		Many obesity-associated SNPs strongly associate with DNA methylation changes at proximal promoters and enhancers	No
26619357	103	mQTL	Brain	EUR	166	Nature neuroscience	2015	hg19/hg38		Methylation QTLs in the developing brain and their enrichment in schizophrenia risk loci	No
26619358	104	mQTL	Brain-Prefrontal Cortex	MIX	258	Nature neuroscience	2015	hg19/hg38		Mapping DNA methylation across development, genotype and schizophrenia in the human frontal cortex	No
26699738	105	mQTL	Blood	EUR	697	Genome biology	2015	hg19/hg38	cross association	High density methylation QTL analysis in human blood via next-generation sequencing of the methylated genomic DNA fraction	No
26699738	106	mQTL	Blood	EUR	697	Genome biology	2015	hg19/hg38	distant association	High density methylation QTL analysis in human blood via next-generation sequencing of the methylated genomic DNA fraction	No
26699738	107	mQTL	Blood	EUR	697	Genome biology	2015	hg19/hg38	local association	High density methylation QTL analysis in human blood via next-generation sequencing of the methylated genomic DNA fraction	No
27036880	108	mQTL	Blood	EUR	837	Genome biology	2016	hg19/hg38		Systematic identification of genetic influences on methylation across the human life course	No
27036880	109	mQTL	Blood	EUR	771	Genome biology	2016	hg19/hg38		Systematic identification of genetic influences on methylation across the human life course	No
27036880	110	mQTL	Blood	EUR	834	Genome biology	2016	hg19/hg38		Systematic identification of genetic influences on methylation across the human life course	No
27036880	111	mQTL	Blood	EUR	742	Genome biology	2016	hg19/hg38		Systematic identification of genetic influences on methylation across the human life course	No
27036880	112	mQTL	Blood	EUR	764	Genome biology	2016	hg19/hg38		Systematic identification of genetic influences on methylation across the human life course	No
27322064	113	mQTL	Adipose	EUR	119	PloS one	2016	hg19/hg38	original reported cis	A Genome-Wide mQTL Analysis in Human Adipose Tissue Identifies Genetic Variants Associated with DNA Methylation, Gene Expression and Metabolic Traits	No
27322064	114	mQTL	Adipose	EUR	119	PloS one	2016	hg19/hg38	original reported trans	A Genome-Wide mQTL Analysis in Human Adipose Tissue Identifies Genetic Variants Associated with DNA Methylation, Gene Expression and Metabolic Traits	No
27863251	115	mQTL	Blood-Monocytes CD14+	MIX	197	Cell	2016	hg19/hg38		Genetic Drivers of Epigenetic and Transcriptional Variation in Human Immune Cells	Yes
27863251	116	mQTL	Blood-Neutrophils CD16+	MIX	197	Cell	2016	hg19/hg38		Genetic Drivers of Epigenetic and Transcriptional Variation in Human Immune Cells	Yes
27863251	117	mQTL	Blood-T cell CD4+ naive	MIX	197	Cell	2016	hg19/hg38		Genetic Drivers of Epigenetic and Transcriptional Variation in Human Immune Cells	No
27884142	118	mQTL	Blood	EUR	966	BMC medical genomics	2016	hg19/hg38		DNA methylation patterns associated with oxidative stress in an ageing population	No
27918535	119	mQTL	Blood	EUR	3841	Nature genetics	2016	hg19/hg38		Disease variants alter transcription factor levels and methylation of their binding sites	No
27980695	120	mQTL	Skin	EAS	176	Clinical epigenetics	2016	hg19/hg38		Epigenome-wide association data implicates DNA methylation-mediated genetic risk in psoriasis	No
28094813	121	mQTL	Blood	EUR	223	Translational psychiatry	2016	hg19/hg38		A methylome-wide mQTL analysis reveals associations of methylation sites with GAD1 and HDAC3 SNPs and a general psychiatric risk score	No
28213390	122	mQTL	Blood	MIX	2306	Circulation. Cardiovascular genetics	2017	hg19/hg38		Epigenetic Patterns in Blood Associated With Lipid Traits Predict Incident Coronary Heart Disease Events and Are Enriched for Results From Genome-Wide Association Studies	No
28246294	123	mQTL	Blood	EUR	1018	Diabetes	2017	hg19/hg38		Role of DNA Methylation in Type 2 Diabetes Etiology: Using Genotype as a Causal Anchor	No
28869584	124	mQTL	Brain-Prefrontal Cortex	EUR	468	Nature neuroscience	2017	hg19/hg38		An xQTL map integrates the genetic architecture of the human brain's transcriptome and epigenome	No
28892072	125	mQTL	Blood	EUR	512	Translational psychiatry	2017	hg19/hg38		Neuregulin signaling pathway in smoking behavior	No
29142228	126	mQTL	Brain-Hippocampus	EUR	110	nature communications	2017	hg19/hg38		Genome-wide mapping of genetic determinants influencing DNA methylation and gene expression in human hippocampus	No
29362489	127	mQTL	Blood	MIX	73	European journal of human genetics : EJHG	2018	hg19/hg38		Genetic variant in CACNA1C is associated with PTSD in traumatized police officers	No
29476079	128	mQTL	Blood	SAS	337	nature communications	2018	hg19/hg38		Co-occurring expression and methylation QTLs allow detection of common causal variants and shared biological mechanisms	No
29482655	129	mQTL	Mouth-Saliva	MIX	197	Genome medicine	2018	hg19/hg38		Characterization of cross-tissue genetic-epigenetic effects and their patterns in schizophrenia	No
29860447	130	mQTL	Blood	MIX	740	Human molecular genetics	2018	hg19/hg38	adole	Genome-wide survey of parent-of-origin effects on DNA methylation identifies candidate imprinted loci in humans	No
29860447	131	mQTL	Blood	MIX	740	Human molecular genetics	2018	hg19/hg38	birth	Genome-wide survey of parent-of-origin effects on DNA methylation identifies candidate imprinted loci in humans	No
29860447	132	mQTL	Blood	MIX	740	Human molecular genetics	2018	hg19/hg38	child	Genome-wide survey of parent-of-origin effects on DNA methylation identifies candidate imprinted loci in humans	No
30091980	133	mQTL	Blood	EUR	1464	PLoS genetics	2018	hg19/hg38		Characterizing genetic and environmental influences on variable DNA methylation using monozygotic and dizygotic twins	No
30203047	134	mQTL	Bladder	MIX	405	Nucleic acids research	2019	hg19/hg38	original reported cis	Pancan-meQTL: a database to systematically evaluate the effects of genetic variants on methylation in human cancer	No
30203047	135	mQTL	Bladder	MIX	405	Nucleic acids research	2019	hg19/hg38	original reported trans	Pancan-meQTL: a database to systematically evaluate the effects of genetic variants on methylation in human cancer	No
30203047	136	mQTL	Breast	MIX	664	Nucleic acids research	2019	hg19/hg38	original reported cis	Pancan-meQTL: a database to systematically evaluate the effects of genetic variants on methylation in human cancer	No
30203047	137	mQTL	Breast	MIX	664	Nucleic acids research	2019	hg19/hg38	original reported trans	Pancan-meQTL: a database to systematically evaluate the effects of genetic variants on methylation in human cancer	No
30203047	138	mQTL	Cervix	MIX	290	Nucleic acids research	2019	hg19/hg38	original reported cis	Pancan-meQTL: a database to systematically evaluate the effects of genetic variants on methylation in human cancer	No
30203047	139	mQTL	Cervix	MIX	290	Nucleic acids research	2019	hg19/hg38	original reported trans	Pancan-meQTL: a database to systematically evaluate the effects of genetic variants on methylation in human cancer	No
30203047	140	mQTL	Large Intestine-Colon	MIX	354	Nucleic acids research	2019	hg19/hg38	original reported cis	Pancan-meQTL: a database to systematically evaluate the effects of genetic variants on methylation in human cancer	No
30203047	141	mQTL	Large Intestine-Colon	MIX	354	Nucleic acids research	2019	hg19/hg38	original reported trans	Pancan-meQTL: a database to systematically evaluate the effects of genetic variants on methylation in human cancer	No
30203047	142	mQTL	Esophagus	MIX	173	Nucleic acids research	2019	hg19/hg38	original reported cis	Pancan-meQTL: a database to systematically evaluate the effects of genetic variants on methylation in human cancer	No
30203047	143	mQTL	Esophagus	MIX	173	Nucleic acids research	2019	hg19/hg38	original reported trans	Pancan-meQTL: a database to systematically evaluate the effects of genetic variants on methylation in human cancer	No
30203047	144	mQTL	Brain	MIX	501	Nucleic acids research	2019	hg19/hg38	original reported cis	Pancan-meQTL: a database to systematically evaluate the effects of genetic variants on methylation in human cancer	No
30203047	145	mQTL	Brain	MIX	501	Nucleic acids research	2019	hg19/hg38	original reported trans	Pancan-meQTL: a database to systematically evaluate the effects of genetic variants on methylation in human cancer	No
30203047	146	mQTL	Kidney	MIX	306	Nucleic acids research	2019	hg19/hg38	original reported cis	Pancan-meQTL: a database to systematically evaluate the effects of genetic variants on methylation in human cancer	No
30203047	147	mQTL	Kidney	MIX	306	Nucleic acids research	2019	hg19/hg38	original reported trans	Pancan-meQTL: a database to systematically evaluate the effects of genetic variants on methylation in human cancer	No
30203047	148	mQTL	Kidney	MIX	271	Nucleic acids research	2019	hg19/hg38	original reported cis	Pancan-meQTL: a database to systematically evaluate the effects of genetic variants on methylation in human cancer	No
30203047	149	mQTL	Kidney	MIX	271	Nucleic acids research	2019	hg19/hg38	original reported trans	Pancan-meQTL: a database to systematically evaluate the effects of genetic variants on methylation in human cancer	No
30203047	150	mQTL	Blood	MIX	122	Nucleic acids research	2019	hg19/hg38	original reported cis	Pancan-meQTL: a database to systematically evaluate the effects of genetic variants on methylation in human cancer	No
30203047	151	mQTL	Blood	MIX	122	Nucleic acids research	2019	hg19/hg38	original reported trans	Pancan-meQTL: a database to systematically evaluate the effects of genetic variants on methylation in human cancer	No
30203047	152	mQTL	Brain	MIX	487	Nucleic acids research	2019	hg19/hg38	original reported cis	Pancan-meQTL: a database to systematically evaluate the effects of genetic variants on methylation in human cancer	No
30203047	153	mQTL	Brain	MIX	487	Nucleic acids research	2019	hg19/hg38	original reported trans	Pancan-meQTL: a database to systematically evaluate the effects of genetic variants on methylation in human cancer	No
30203047	154	mQTL	Liver	MIX	367	Nucleic acids research	2019	hg19/hg38	original reported cis	Pancan-meQTL: a database to systematically evaluate the effects of genetic variants on methylation in human cancer	No
30203047	155	mQTL	Liver	MIX	367	Nucleic acids research	2019	hg19/hg38	original reported trans	Pancan-meQTL: a database to systematically evaluate the effects of genetic variants on methylation in human cancer	No
30203047	156	mQTL	Lung	MIX	448	Nucleic acids research	2019	hg19/hg38	original reported cis	Pancan-meQTL: a database to systematically evaluate the effects of genetic variants on methylation in human cancer	No
30203047	157	mQTL	Lung	MIX	448	Nucleic acids research	2019	hg19/hg38	original reported trans	Pancan-meQTL: a database to systematically evaluate the effects of genetic variants on methylation in human cancer	No
30203047	158	mQTL	Lung	MIX	359	Nucleic acids research	2019	hg19/hg38	original reported cis	Pancan-meQTL: a database to systematically evaluate the effects of genetic variants on methylation in human cancer	No
30203047	159	mQTL	Lung	MIX	359	Nucleic acids research	2019	hg19/hg38	original reported trans	Pancan-meQTL: a database to systematically evaluate the effects of genetic variants on methylation in human cancer	No
30203047	160	mQTL	Pancreas	MIX	177	Nucleic acids research	2019	hg19/hg38	original reported cis	Pancan-meQTL: a database to systematically evaluate the effects of genetic variants on methylation in human cancer	No
30203047	161	mQTL	Pancreas	MIX	177	Nucleic acids research	2019	hg19/hg38	original reported trans	Pancan-meQTL: a database to systematically evaluate the effects of genetic variants on methylation in human cancer	No
30203047	162	mQTL	Adrenal Gland	MIX	175	Nucleic acids research	2019	hg19/hg38	original reported cis	Pancan-meQTL: a database to systematically evaluate the effects of genetic variants on methylation in human cancer	No
30203047	163	mQTL	Adrenal Gland	MIX	175	Nucleic acids research	2019	hg19/hg38	original reported trans	Pancan-meQTL: a database to systematically evaluate the effects of genetic variants on methylation in human cancer	No
30203047	164	mQTL	Prostate	MIX	479	Nucleic acids research	2019	hg19/hg38	original reported cis	Pancan-meQTL: a database to systematically evaluate the effects of genetic variants on methylation in human cancer	No
30203047	165	mQTL	Prostate	MIX	479	Nucleic acids research	2019	hg19/hg38	original reported trans	Pancan-meQTL: a database to systematically evaluate the effects of genetic variants on methylation in human cancer	No
30203047	166	mQTL	Skin	MIX	257	Nucleic acids research	2019	hg19/hg38	original reported cis	Pancan-meQTL: a database to systematically evaluate the effects of genetic variants on methylation in human cancer	No
30203047	167	mQTL	Skin	MIX	257	Nucleic acids research	2019	hg19/hg38	original reported trans	Pancan-meQTL: a database to systematically evaluate the effects of genetic variants on methylation in human cancer	No
30203047	168	mQTL	Skin	MIX	103	Nucleic acids research	2019	hg19/hg38	original reported cis	Pancan-meQTL: a database to systematically evaluate the effects of genetic variants on methylation in human cancer	No
30203047	169	mQTL	Skin	MIX	103	Nucleic acids research	2019	hg19/hg38	original reported trans	Pancan-meQTL: a database to systematically evaluate the effects of genetic variants on methylation in human cancer	No
